S.No.,College,Role,City type,Previous CTC,Previous job changes,Graduation marks,Exp (Months),CTC
1,Tier 1,Manager,Non-Metro,55523,3,66,19,71406.57653
2,Tier 2,Executive,Metro,57081,1,84,18,68005.87063
3,Tier 2,Executive,Metro,60347,2,52,28,76764.02028
4,Tier 3,Executive,Metro,49010,2,81,33,82092.38688
5,Tier 3,Executive,Metro,57879,4,74,32,73878.09773
6,Tier 2,Executive,Non-Metro,54340,4,73,31,59950.89225
7,Tier 2,Executive,Non-Metro,60298,1,42,46,66602.33931
8,Tier 3,Executive,Non-Metro,49944,2,56,37,57768.43504
9,Tier 1,Executive,Metro,53124,4,40,37,70083.30436
10,Tier 3,Executive,Non-Metro,51141,1,47,60,85648.48147
11,Tier 1,Executive,Metro,49497,1,50,25,74914.14603
12,Tier 2,Manager,Non-Metro,50197,2,66,62,85219.39144
13,Tier 1,Executive,Metro,63234,4,73,23,82910.93833
14,Tier 2,Executive,Non-Metro,60059,2,71,56,74350.0782
15,Tier 2,Manager,Metro,66487,1,50,27,103595.8285
16,Tier 1,Executive,Metro,49292,4,49,19,70729.63282
17,Tier 1,Executive,Non-Metro,55400,4,48,52,70051.93691
18,Tier 1,Executive,Metro,53089,2,72,23,69403.49341
19,Tier 1,Executive,Metro,69345,3,79,56,84710.53255
20,Tier 1,Manager,Metro,63508,1,48,30,95879.94276
21,Tier 1,Executive,Non-Metro,60057,1,61,60,73487.12624
22,Tier 1,Executive,Non-Metro,52402,3,35,30,61597.98193
23,Tier 2,Executive,Metro,60180,2,68,18,63119.80038
24,Tier 1,Manager,Non-Metro,53422,4,44,34,98586.82528
25,Tier 3,Executive,Metro,49857,3,37,37,71502.56406
26,Tier 2,Executive,Non-Metro,48682,3,82,59,64320.6691
27,Tier 1,Executive,Non-Metro,48516,2,37,63,77310.21816
28,Tier 3,Executive,Non-Metro,54363,3,44,55,74825.19815
29,Tier 3,Executive,Metro,39636,3,43,23,59230.43528
30,Tier 1,Manager,Metro,65172,1,44,31,107138.1405
31,Tier 1,Manager,Metro,58529,1,65,22,102763.6109
32,Tier 1,Executive,Non-Metro,50011,2,72,18,69764.49043
33,Tier 1,Executive,Non-Metro,50020,4,75,19,59889.14135
34,Tier 3,Executive,Metro,55764,2,64,63,82356.40782
35,Tier 1,Manager,Metro,60894,4,80,28,118651.8947
36,Tier 3,Executive,Metro,42259,4,37,19,66762.27178
37,Tier 3,Executive,Non-Metro,59978,2,75,62,79454.73947
38,Tier 1,Executive,Metro,47129,1,41,26,66079.8501
39,Tier 1,Manager,Metro,57485,1,77,35,103774.3436
40,Tier 1,Manager,Metro,62593,3,71,60,112716.4449
41,Tier 1,Executive,Non-Metro,48913,3,41,24,62819.16251
42,Tier 2,Executive,Non-Metro,66101,4,81,31,55470.54982
43,Tier 2,Executive,Metro,49622,2,73,41,69510.04982
44,Tier 2,Executive,Non-Metro,59386,4,46,37,68064.76305
45,Tier 1,Executive,Metro,66050,1,35,38,69116.92554
46,Tier 1,Executive,Metro,59492,1,69,55,86354.83986
47,Tier 1,Executive,Non-Metro,61134,3,72,18,60456.69196
48,Tier 3,Executive,Non-Metro,61956,4,54,28,71791.28441
49,Tier 2,Executive,Non-Metro,46086,4,50,60,67626.88844
50,Tier 2,Manager,Metro,61481,3,79,36,99794.40393
51,Tier 1,Executive,Non-Metro,55727,3,79,18,70350.78937
52,Tier 3,Executive,Non-Metro,61576,2,73,21,58818.76609
53,Tier 1,Manager,Metro,57563,1,64,48,86487.57594
54,Tier 2,Manager,Metro,58288,3,84,36,92378.50264
55,Tier 3,Executive,Non-Metro,55282,3,60,40,73281.55099
56,Tier 3,Manager,Metro,66624,1,63,58,110438.1706
57,Tier 1,Executive,Non-Metro,59443,3,52,58,67485.09818
58,Tier 2,Manager,Metro,51937,3,64,18,92518.36539
59,Tier 2,Manager,Non-Metro,46477,3,37,53,72977.62735
60,Tier 3,Executive,Non-Metro,62470,3,60,34,64770.74983
61,Tier 1,Executive,Metro,51123,2,52,43,74845.87129
62,Tier 2,Executive,Metro,56301,3,58,25,59913.31243
63,Tier 3,Executive,Metro,46670,1,69,64,95961.18279
64,Tier 3,Executive,Non-Metro,54375,2,82,28,60766.37878
65,Tier 3,Manager,Non-Metro,45227,4,40,20,69193.95883
66,Tier 1,Executive,Non-Metro,50787,4,81,19,66433.39518
67,Tier 1,Executive,Non-Metro,62919,3,42,61,73410.9462
68,Tier 3,Executive,Metro,51770,3,45,40,68447.6312
69,Tier 2,Executive,Non-Metro,60123,1,47,40,60185.39616
70,Tier 2,Manager,Metro,51002,4,41,28,76765.01607
71,Tier 2,Manager,Non-Metro,46940,1,69,27,70157.02715
72,Tier 1,Executive,Metro,49905,4,66,31,75297.3393
73,Tier 1,Executive,Non-Metro,51505,2,55,53,76960.47645
74,Tier 2,Executive,Metro,52474,3,79,58,76204.89111
75,Tier 1,Executive,Metro,49172,2,57,44,63782.20198
76,Tier 3,Executive,Metro,56916,3,42,57,69415.10843
77,Tier 2,Executive,Non-Metro,59386,1,38,29,64472.35678
78,Tier 2,Executive,Metro,55748,3,84,21,60815.41688
79,Tier 1,Executive,Non-Metro,65574,2,83,22,55902.82816
80,Tier 3,Executive,Non-Metro,58541,4,79,41,64468.29368
81,Tier 1,Executive,Metro,50672,4,79,31,76093.35759
82,Tier 1,Executive,Non-Metro,68071,1,70,45,81430.49293
83,Tier 2,Manager,Metro,58815,4,71,22,106165.0774
84,Tier 3,Executive,Non-Metro,62493,3,74,48,67374.71261
85,Tier 1,Manager,Non-Metro,60182,4,59,37,103574.4499
86,Tier 3,Manager,Metro,42941,1,49,45,74191.43026
87,Tier 3,Manager,Non-Metro,55505,2,40,57,100887.8476
88,Tier 1,Executive,Non-Metro,54114,3,82,56,78715.15961
89,Tier 3,Executive,Non-Metro,57670,1,41,46,70686.70528
90,Tier 3,Executive,Non-Metro,54361,2,68,55,73231.75259
91,Tier 2,Executive,Non-Metro,67083,4,39,21,66296.73184
92,Tier 3,Executive,Non-Metro,52483,2,65,53,71738.23274
93,Tier 1,Manager,Metro,55581,4,49,59,99551.33884
94,Tier 3,Executive,Metro,62243,1,41,35,75903.41505
95,Tier 1,Manager,Non-Metro,59293,1,81,64,105308.7845
96,Tier 2,Executive,Non-Metro,59707,3,70,28,56003.61167
97,Tier 1,Executive,Non-Metro,57726,4,84,54,68673.29091
98,Tier 2,Executive,Metro,58401,4,45,55,76028.50225
99,Tier 1,Manager,Metro,41228,2,64,56,87418.05045
100,Tier 1,Manager,Metro,40945,1,46,38,74984.02065
101,Tier 1,Executive,Non-Metro,54794,4,47,41,66591.29272
102,Tier 1,Executive,Metro,51692,2,57,30,72088.04432
103,Tier 1,Executive,Non-Metro,52305,1,35,18,78521.16794
104,Tier 2,Manager,Non-Metro,56680,4,63,61,85688.7217
105,Tier 1,Executive,Non-Metro,52300,4,52,34,66657.86216
106,Tier 3,Manager,Metro,56710,2,47,20,67879.01581
107,Tier 1,Executive,Non-Metro,51351,1,69,19,60069.67908
108,Tier 3,Executive,Metro,51022,2,55,26,67820.30557
109,Tier 2,Executive,Metro,52096,3,37,29,65685.01767
110,Tier 2,Manager,Metro,59099,2,67,63,103305.2959
111,Tier 3,Executive,Metro,57677,4,77,54,76671.69402
112,Tier 1,Executive,Non-Metro,59343,3,85,55,76577.9864
113,Tier 1,Executive,Metro,54767,1,35,37,66693.9751
114,Tier 3,Executive,Non-Metro,60869,1,77,21,60125.96817
115,Tier 1,Executive,Metro,53949,4,81,52,80042.11083
116,Tier 1,Executive,Metro,48707,4,77,60,97106.10545
117,Tier 2,Executive,Metro,77911,1,50,58,87831.61698
118,Tier 2,Manager,Non-Metro,54183,1,40,29,70630.94733
119,Tier 2,Executive,Non-Metro,51099,3,71,49,67516.62665
120,Tier 3,Executive,Non-Metro,51591,1,79,37,67573.29352
121,Tier 1,Executive,Metro,61057,1,41,44,80714.78837
122,Tier 1,Executive,Metro,48280,4,79,18,75430.51155
123,Tier 3,Executive,Non-Metro,57606,4,78,20,54071.78777
124,Tier 1,Manager,Metro,55440,4,72,44,112826.2608
